# 점수 계산 기준: PR_fb*3, PR_doc*2, PR_typo*1, IS_fb*2, IS_doc*1
| UserId           | f/b_PR | doc_PR | typo | f/b_issue | doc_issue | PR_rate | IS_rate | total |
|------------------|--------|--------|------|-----------|-----------|---------|---------|-------|
| parkjueuny       |      4 |      1 |    0 |        18 |         0 |     5.2 |    14.0 |    50 |
| porvs            |      7 |      0 |    0 |         3 |         0 |     7.3 |     2.3 |    27 |
| KohSeungJae      |      8 |      0 |    0 |         1 |         0 |     8.3 |     0.8 |    26 |
| sungh00          |      1 |      4 |    2 |         3 |         8 |     7.3 |     8.5 |    23 |
| moongyeong000    |      6 |      1 |    0 |         1 |         0 |     7.3 |     0.8 |    22 |
| speedmult        |      3 |      4 |    0 |         0 |         1 |     7.3 |     0.8 |    18 |
| jaewon786        |      2 |      0 |    0 |         5 |         0 |     2.1 |     3.9 |    16 |
| weeksun02        |      3 |      0 |    0 |         3 |         0 |     3.1 |     2.3 |    15 |
| Jae-Hyuk-Lee     |      2 |      0 |    0 |         4 |         1 |     2.1 |     3.9 |    15 |
| LeeChungMoo965   |      2 |      0 |    0 |         4 |         0 |     2.1 |     3.1 |    14 |
| kanggyuhyuk      |      2 |      2 |    0 |         1 |         2 |     4.2 |     2.3 |    14 |
| joon0447         |      3 |      1 |    0 |         1 |         0 |     4.2 |     0.8 |    13 |
| dbrhr5           |      3 |      0 |    0 |         2 |         0 |     3.1 |     1.6 |    13 |
| MING9UCCI        |      2 |      0 |    0 |         3 |         0 |     2.1 |     2.3 |    12 |
| eunwoooo         |      1 |      1 |    0 |         2 |         3 |     2.1 |     3.9 |    12 |
| seoyoomi         |      0 |      2 |    1 |         2 |         3 |     3.1 |     3.9 |    12 |
| MyeongHyeonCheol |      1 |      2 |    1 |         0 |         4 |     4.2 |     3.1 |    12 |
| Bluewak          |      1 |      0 |    0 |         8 |         0 |     1.0 |     6.2 |    11 |
| JosephStalin0305 |      3 |      0 |    0 |         1 |         0 |     3.1 |     0.8 |    11 |
| sieunkirn        |      0 |      3 |    0 |         2 |         1 |     3.1 |     2.3 |    11 |
| Sernn0           |      1 |      0 |    0 |         3 |         0 |     1.0 |     2.3 |     9 |
| AnhyunJun1741    |      1 |      1 |    1 |         1 |         1 |     3.1 |     1.6 |     9 |
| syl0073          |      1 |      0 |    0 |         1 |         1 |     1.0 |     1.6 |     6 |
| uzihyun          |      0 |      1 |    0 |         2 |         0 |     1.0 |     1.6 |     6 |
| jinho131         |      1 |      1 |    0 |         0 |         0 |     2.1 |     0.0 |     5 |
| SongHyunWoo123   |      1 |      1 |    0 |         0 |         0 |     2.1 |     0.0 |     5 |
| Jass2345         |      1 |      0 |    0 |         0 |         0 |     1.0 |     0.0 |     3 |
| INHYOYUN         |      1 |      0 |    0 |         0 |         0 |     1.0 |     0.0 |     3 |
| bym010312        |      0 |      0 |    1 |         1 |         0 |     1.0 |     0.8 |     3 |
| taegeon1ee       |      0 |      1 |    0 |         0 |         1 |     1.0 |     0.8 |     3 |
| sanghoon03       |      0 |      1 |    0 |         0 |         1 |     1.0 |     0.8 |     3 |
| lad-blip         |      0 |      1 |    0 |         0 |         0 |     1.0 |     0.0 |     2 |
| smallisl         |      0 |      1 |    0 |         0 |         0 |     1.0 |     0.0 |     2 |
| eunoa            |      0 |      0 |    0 |         1 |         0 |     0.0 |     0.8 |     0 |
| jw21603          |      0 |      0 |    0 |         2 |         2 |     0.0 |     3.1 |     0 |
| kyahnu           |      0 |      0 |    0 |         2 |         0 |     0.0 |     1.6 |     0 |
| lsc1124          |      0 |      0 |    0 |         0 |         5 |     0.0 |     3.9 |     0 |
| sun-juu          |      0 |      0 |    0 |         0 |         0 |     0.0 |     0.0 |     0 |
| xhltkwk          |      0 |      0 |    0 |         6 |         0 |     0.0 |     4.7 |     0 |
| kyagrd           |      0 |      0 |    0 |         3 |         1 |     0.0 |     3.1 |     0 |
| hyn033           |      0 |      0 |    0 |         0 |         1 |     0.0 |     0.8 |     0 |
| jeonggeun1       |      0 |      0 |    0 |         1 |         0 |     0.0 |     0.8 |     0 |
| jungsuryeon      |      0 |      0 |    0 |         1 |         0 |     0.0 |     0.8 |     0 |
| how-to-song      |      0 |      0 |    0 |         0 |         2 |     0.0 |     1.6 |     0 |
| lxyul            |      0 |      0 |    0 |         2 |         0 |     0.0 |     1.6 |     0 |
| isDohyeon        |      0 |      0 |    0 |         1 |         0 |     0.0 |     0.8 |     0 |
