# 점수 계산 기준: PR_fb*3, PR_doc*2, PR_typo*1, IS_fb*2, IS_doc*1
| UserId           | f/b_PR | doc_PR | typo | f/b_issue | doc_issue | PR_rate | IS_rate | total |
|------------------|--------|--------|------|-----------|-----------|---------|---------|-------|
| JosephStalin0305 |     12 |      4 |    0 |        22 |         5 |     5.7 |     8.6 |    93 |
| kjason0102       |     18 |      5 |    0 |         7 |         3 |     8.2 |     3.2 |    81 |
| jaewon786        |     13 |      2 |    2 |        13 |         2 |     6.0 |     4.8 |    73 |
| bym010312        |     12 |      7 |    0 |         8 |         6 |     6.7 |     4.5 |    72 |
| Jass2345         |     11 |      6 |    1 |         8 |         4 |     6.4 |     3.8 |    66 |
| Sernn0           |     11 |      3 |    0 |         7 |         5 |     5.0 |     3.8 |    58 |
| jungsuryeon      |     11 |      1 |    0 |         8 |         4 |     4.3 |     3.8 |    55 |
| speedmult        |     11 |      5 |    0 |         1 |         3 |     5.7 |     1.3 |    48 |
| seoyoomi         |      3 |      4 |    0 |        12 |         6 |     2.5 |     5.7 |    47 |
| MING9UCCI        |      6 |      4 |    0 |         8 |         1 |     3.5 |     2.9 |    43 |
| weeksun02        |      5 |      4 |    0 |         5 |         8 |     3.2 |     4.1 |    41 |
| porvs            |      5 |      2 |    0 |         5 |         4 |     2.5 |     2.9 |    33 |
| KohSeungJae      |      5 |      1 |    0 |         7 |         2 |     2.1 |     2.9 |    33 |
| Jae-Hyuk-Lee     |      4 |      1 |    0 |         9 |         1 |     1.8 |     3.2 |    33 |
| isDohyeon        |      7 |      1 |    0 |         4 |         1 |     2.8 |     1.6 |    32 |
| hyn033           |      4 |      1 |    0 |         5 |         1 |     1.8 |     1.9 |    25 |
| jinho131         |      0 |      4 |    0 |         8 |         2 |     1.4 |     3.2 |    24 |
| kanggyuhyuk      |      3 |      4 |    0 |         1 |         2 |     2.5 |     1.0 |    21 |
| moongyeong000    |      5 |      1 |    0 |         0 |         1 |     2.1 |     0.3 |    18 |
| taegeon1ee       |      2 |      1 |    0 |         4 |         1 |     1.1 |     1.6 |    17 |
| sun-juu          |      2 |      2 |    0 |         3 |         1 |     1.4 |     1.3 |    17 |
| xhltkwk          |      3 |      1 |    0 |         2 |         2 |     1.4 |     1.3 |    17 |
| jeonggeun1       |      0 |      3 |    0 |         3 |         3 |     1.1 |     1.9 |    15 |
| jw21603          |      2 |      2 |    0 |         2 |         1 |     1.4 |     1.0 |    15 |
| eunwoooo         |      2 |      2 |    0 |         0 |         3 |     1.4 |     1.0 |    13 |
| kyagrd           |      0 |      2 |    0 |         3 |         2 |     0.7 |     1.6 |    12 |
| Bluewak          |      2 |      1 |    0 |         1 |         1 |     1.1 |     0.6 |    11 |
| sangmyoung0      |      2 |      1 |    0 |         1 |         1 |     1.1 |     0.6 |    11 |
| lxyul            |      0 |      1 |    0 |         9 |         1 |     0.4 |     3.2 |    10 |
| INHYOYUN         |      1 |      1 |    0 |         1 |         1 |     0.7 |     0.6 |     8 |
| ohhyeonghwan     |      0 |      1 |    0 |         2 |         1 |     0.4 |     1.0 |     7 |
| sungh00          |      0 |      1 |    0 |         1 |         3 |     0.4 |     1.3 |     7 |
| how-to-song      |      0 |      2 |    0 |         1 |         1 |     0.7 |     0.6 |     7 |
| sanghoon03       |      1 |      1 |    0 |         0 |         2 |     0.7 |     0.6 |     7 |
| dbrhr5           |      0 |      1 |    0 |         2 |         1 |     0.4 |     1.0 |     7 |
| lsc1124          |      0 |      1 |    0 |         1 |         1 |     0.4 |     0.6 |     5 |
| parkjueuny       |      1 |      0 |    0 |         1 |         0 |     0.4 |     0.3 |     5 |
| godolll          |      0 |      1 |    0 |         0 |         1 |     0.4 |     0.3 |     3 |
| smallisl         |      1 |      0 |    0 |         0 |         0 |     0.4 |     0.0 |     3 |
| yougyeongsu      |      0 |      1 |    0 |         0 |         1 |     0.4 |     0.3 |     3 |
| seokwd           |      0 |      1 |    0 |         0 |         1 |     0.4 |     0.3 |     3 |
| lpoipk           |      0 |      1 |    0 |         0 |         1 |     0.4 |     0.3 |     3 |
| SongHyunWoo123   |      0 |      1 |    0 |         0 |         1 |     0.4 |     0.3 |     3 |
| seojunyong00     |      0 |      1 |    0 |         0 |         1 |     0.4 |     0.3 |     3 |
| AnhyunJun1741    |      0 |      1 |    0 |         0 |         1 |     0.4 |     0.3 |     3 |
